materialNo,title,category,status,orderable,attributes
10000334,vario quick Rohlingsschraube Ø 93 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=93,0 mm"
10000336,vario quick Anschlagschraube Ø 19 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=19,0 mm"
10000337,vario quick Anschlagschraube Ø 24 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=24,0 mm"
10000338,vario quick Anschlagschraube Ø 29 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=29,0 mm"
10000339,vario quick Anschlagschraube Ø 34 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=34,0 mm"
10000340,vario quick Anschlagschraube Ø 39 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=39,0 mm"
10000341,vario quick Anschlagschraube Ø 44 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=44,0 mm"
10000342,vario quick Anschlagschraube Ø 49 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=49,0 mm"
10000343,vario quick Anschlagschraube Ø 54 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=54,0 mm"
10000344,vario quick Anschlagschraube Ø 59 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=59,0 mm"
10000345,vario quick Anschlagschraube Ø 64 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=64,0 mm"
10000346,vario quick Anschlagschraube Ø 69 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=69,0 mm"
10000347,vario quick Anschlagschraube Ø 74 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=74,0 mm"
10000348,vario quick Anschlagschraube Ø 79 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=79,0 mm"
10000349,vario quick Anschlagschraube Ø 84 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=84,0 mm"
10000350,vario quick Anschlagschraube Ø 89 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=89,0 mm"
10000351,vario quick Anschlagschraube Ø 94 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=94,0 mm"
10000352,"vario quick Anschlagschraube Ø 13,5 mm",Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=13,5 mm"
10000356,vario quick Grundscheibe 32,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=32; Passend für=SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring
10000358,vario quick Grundscheibe 65,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring"
10000360,vario quick Grundscheibe 52,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus mini
TOPlus premium
SPANNTOP mini; Beschreibung=vorbereitet für Späneschutzring"
